"","lad2014_code","rr_80_84_m","rr_85_89_m","rr_90p_m","rr_80_84_f","rr_85_89_f","rr_90p_f"
"265","E06000045",0.912557199261427,1.07112500238227,0.896060266720961,1.02613224637681,1.17410616270625,1.23577193842028
"271","E06000046",1.22972527834508,1.19834726889115,1.05064386596511,0.962889622295563,1.13379432102398,1.16551724137931
"277","E06000047",1.02009650701759,1.05840842860345,1.05460492013082,1.0371204030889,1.11437199021078,1.11539881894166
"283","E06000049",1.12587453371457,1.11664264815057,1.09913096200485,1.0048235552184,1.19825462962963,1.35176287360628
"289","E06000050",0.977767431032476,0.933001560978626,1.13121532665397,1.1295750500422,1.0852718091375,1.21471965187204
"295","E06000051",0.896803365923687,0.852464061515484,1.10941619585687,1.16736848499963,0.988937642294239,1.15198582171296
"301","E06000052",1.04177703993214,1.10133602356035,1.10834770610555,0.982774436904149,1.10715359088997,1.17680924146924
"307","E06000053",1.11538461538462,2,Inf,2.70731707317073,4.61538461538462,1.56818181818182
"313","E06000054",1.11283837701799,1.3024125953602,1.08472090414977,1.09696242427166,1.04118290467101,1.18578894317454
"319","E06000055",0.983306226233564,1.08457485222136,1.27879762493815,1.39381209543881,0.828243879418502,1.2396884272997
"325","E06000056",1.08131635721603,1.03470383275261,1.050496,1.15248477598956,0.941415458937198,1.10864126984127
"331","E06000057",1.12321367439028,1.09122034306557,1.15906805229635,1.16184360953259,1.0630191909459,1.23312280484956
"337","E07000004",0.985176738882554,1.23060200668896,1.28487348458172,1.05666223992917,1.0194535845117,1.10950137140446
"343","E07000005",0.906263461704144,0.864520010131712,1.2128124702975,0.957476137763947,0.868364206381067,0.912949921752739
"349","E07000006",1.03147886419119,0.967808380414313,1.17124183006536,1.2484749516677,1.24690293241336,1.61015211640212
"355","E07000007",1.06357152432063,0.894698085419735,1.36439888164026,1.08524074008561,1.16359592013889,1.20758811263499
"361","E07000008",1.45736040609137,0.982785479068483,1.39473684210526,1.06068366551609,1.03898932155363,1.32564925590896
"367","E07000009",0.957542542034575,1.49282296650718,0.835862068965517,1.25244641537324,1.11664959016393,1.17398002549936
