"","lad2014_code","dorling_03","dorling_04","dorling_05","dorling_06","dorling_07","dorling_08","dorling_09","dorling_10","dorling_11","dorling_12","dorling_13","dorling_14","dorling_15"
"92","E07000052",4,2,1,4,4,1,5,2,3,1,4,0,3
"93","E07000053",4,4,1,4,5,5,4,1,3,1,4,2,4
"94","E07000061",2,1,3,1,3,3,4,3,1,4,2,1,5
"95","E07000062",4,5,0,4,2,5,2,3,4,5,0,2,5
"96","E07000063",4,1,2,4,2,4,1,5,4,1,5,4,4
"97","E07000064",3,3,1,2,4,4,4,1,2,3,5,0,5
"98","E07000065",1,5,0,2,1,4,4,2,4,4,1,0,5
"99","E07000066",5,3,3,3,3,2,4,4,2,2,4,1,5
"100","E07000067",4,1,5,4,0,5,3,1,1,4,4,1,5
"101","E07000068",1,5,1,4,4,4,0,4,5,4,1,1,5
"102","E07000069",4,4,2,4,5,5,0,2,5,4,4,1,5
"103","E07000070",4,5,1,1,1,3,5,2,4,4,3,1,5
"104","E07000071",0,2,0,4,1,1,5,2,2,4,4,2,2
"105","E07000072",5,1,3,1,0,4,1,0,4,4,1,4,5
"106","E07000073",5,3,5,5,4,2,2,4,0,5,2,4,3
"107","E07000074",5,1,5,2,5,5,0,5,5,4,4,4,5
"108","E07000075",5,1,5,3,5,4,4,5,0,1,5,1,5
"109","E07000076",1,0,5,2,4,2,4,1,4,2,4,1,5
"110","E07000077",2,4,2,5,5,5,4,1,4,4,4,1,4
"111","E07000078",5,2,0,1,2,2,5,2,2,4,4,3,3
"112","E07000079",1,5,3,0,4,1,4,2,2,5,4,1,5
"113","E07000080",4,4,5,1,5,5,1,2,4,3,5,1,5
"114","E07000081",5,4,2,2,4,1,2,2,4,3,5,0,3
"115","E07000082",4,4,4,1,4,1,3,1,5,4,5,1,2
"116","E07000083",5,1,5,4,4,4,5,3,1,1,5,1,5
"117","E07000084",3,1,4,4,2,5,0,1,0,4,2,1,5
"118","E07000085",0,3,2,1,4,4,1,0,4,4,5,1,5
"119","E07000086",4,5,5,1,3,4,0,1,4,3,5,0,5
"120","E07000087",2,3,4,1,4,4,2,4,4,5,2,2,3
"121","E07000088",3,4,4,2,5,1,5,2,2,3,2,1,5
"122","E07000089",3,4,4,2,0,5,4,1,4,4,5,1,5
"123","E07000090",3,4,2,2,4,4,5,2,2,2,3,0,5
"124","E07000091",3,1,3,2,1,5,2,1,1,3,1,1,4
"125","E07000092",3,5,2,5,4,4,3,4,3,4,4,3,3
"126","E07000093",3,4,4,4,4,4,4,0,1,4,3,4,1
"127","E07000094",5,2,2,2,4,5,4,4,2,0,5,1,5
"128","E07000095",3,4,4,5,4,4,3,5,3,3,1,0,4
"129","E07000096",4,5,4,1,0,5,2,2,3,4,5,1,4
"130","E07000098",5,2,4,1,1,5,5,1,0,5,4,4,5
"131","E07000099",4,3,2,4,4,4,1,4,1,4,1,0,5
"132","E07000102",1,4,5,5,1,4,2,0,5,4,3,2,5
"133","E07000103",5,2,3,1,5,1,4,4,4,4,3,0,5
"134","E07000105",5,1,5,0,1,4,4,3,4,2,5,2,5
"135","E07000106",1,2,4,1,2,3,1,0,4,4,1,0,5
"136","E07000107",5,1,5,4,2,2,4,4,5,5,4,0,5
"137","E07000108",2,0,3,5,2,2,4,3,2,5,0,4,5
"138","E07000109",5,0,5,4,5,1,4,1,1,5,4,5,2
"139","E07000110",4,4,4,4,1,2,5,1,4,3,1,2,3
"140","E07000111",5,4,4,4,4,5,1,1,2,4,4,1,3
"141","E07000112",4,1,1,4,2,4,1,5,1,4,3,1,5
"142","E07000113",3,4,4,2,3,0,3,1,5,3,5,4,5
"143","E07000114",1,2,4,1,1,4,4,0,4,1,1,1,5
"144","E07000115",2,4,5,1,5,4,4,1,5,2,1,1,4
"145","E07000116",2,2,2,1,1,5,4,0,3,1,5,1,5
"146","E07000117",4,5,2,2,5,4,4,0,5,5,3,1,4
"147","E07000118",5,3,0,3,4,4,2,1,3,4,5,0,3
"148","E07000119",1,4,3,4,1,4,5,2,2,3,5,0,4
"149","E07000120",5,4,4,5,1,5,2,1,4,4,5,4,5
"150","E07000121",5,3,3,2,3,1,4,4,5,0,5,1,5
"151","E07000122",4,3,1,4,2,0,5,3,1,5,5,3,4
"152","E07000123",2,3,4,3,1,2,5,0,3,4,5,2,5
"153","E07000124",2,5,5,5,5,4,5,5,2,4,4,4,4
"154","E07000125",5,4,5,4,5,5,5,0,5,0,4,0,5
"155","E07000126",1,4,2,4,3,4,1,4,4,4,1,1,5
"156","E07000127",3,4,3,0,2,2,2,1,1,4,5,0,3
"157","E07000128",5,4,4,0,1,4,4,0,3,5,1,2,3
"158","E07000129",4,5,4,1,4,4,1,4,4,0,5,2,3
"159","E07000130",4,2,1,3,0,2,2,0,4,4,4,0,2
"160","E07000131",1,3,1,3,0,3,1,2,5,4,2,5,4
"161","E07000132",5,4,4,4,1,3,4,5,1,4,5,0,5
"162","E07000133",4,5,4,5,1,4,2,4,5,5,4,2,5
"163","E07000134",5,4,3,4,3,3,3,2,1,5,4,1,5
"164","E07000135",5,5,1,4,1,3,2,5,4,1,4,3,2
"165","E07000136",2,3,5,3,5,5,5,1,1,4,5,2,5
"166","E07000137",2,2,2,2,1,4,5,0,2,3,2,1,3
"167","E07000138",5,4,0,5,2,3,4,1,4,1,5,2,4
"168","E07000139",3,4,1,4,5,2,5,0,5,2,4,1,5
"169","E07000140",1,4,3,2,5,1,4,0,2,4,4,4,5
"170","E07000141",5,3,1,2,5,2,1,2,3,3,0,1,4
"171","E07000142",4,2,4,0,4,1,1,2,5,1,1,4,5
"172","E07000143",0,0,4,4,3,2,1,3,2,3,3,1,5
"173","E07000144",1,3,4,1,1,3,4,1,2,4,5,1,5
"174","E07000145",3,5,5,2,4,5,2,1,1,4,2,4,4
"175","E07000146",5,2,2,1,2,1,0,2,2,1,5,1,4
"176","E07000147",0,2,2,4,1,1,5,0,1,3,4,0,4
"177","E07000148",0,2,5,2,4,3,3,4,1,1,3,2,5
"178","E07000149",1,4,1,5,1,5,1,0,3,2,1,2,5
"179","E07000150",2,3,4,5,4,5,3,5,5,4,4,5,2
"180","E07000151",5,4,1,4,5,1,4,4,4,5,5,1,4
"181","E07000152",5,5,3,1,3,5,5,4,5,2,1,4,5
"182","E07000153",5,5,2,2,1,5,4,4,5,0,5,1,5
"183","E07000154",1,4,3,0,3,1,3,1,5,3,1,0,4
"184","E07000155",1,4,4,3,5,4,5,4,2,2,5,4,5
"185","E07000156",5,4,4,5,2,5,5,3,4,5,3,5,2
"186","E07000163",1,5,1,5,2,5,2,4,4,2,5,3,5
"187","E07000164",2,5,1,4,4,2,5,1,5,4,5,1,5
"188","E07000165",2,3,2,2,1,4,4,1,2,0,5,1,3
"189","E07000166",4,5,1,1,5,5,4,1,5,4,5,2,4
"190","E07000167",1,5,4,5,4,5,1,4,2,4,4,0,5
"191","E07000168",2,5,1,4,1,4,4,2,1,4,3,1,5
"192","E07000169",4,2,4,2,5,1,4,1,5,4,4,1,4
"193","E07000170",4,3,4,2,2,1,3,2,1,5,0,1,5
"194","E07000171",2,4,4,5,1,4,4,4,4,3,5,0,5
"195","E07000172",5,0,4,2,3,3,5,2,5,2,4,1,5
"196","E07000173",4,5,4,4,4,0,4,1,4,4,3,2,4
"197","E07000174",3,5,3,2,2,4,1,4,4,3,5,2,5
"198","E07000175",5,0,3,5,4,3,3,4,4,1,2,5,5
"199","E07000176",2,4,2,1,3,5,4,2,4,3,2,2,5
"200","E07000177",3,5,4,0,5,4,5,3,0,1,5,2,1
"201","E07000178",2,5,1,1,5,2,4,4,1,4,5,2,5
"202","E07000179",2,3,4,2,2,4,1,4,4,2,4,2,5
"203","E07000180",5,3,4,5,0,2,2,4,4,1,4,2,3
"204","E07000181",5,1,3,5,0,4,4,2,5,1,5,4,1
"205","E07000187",5,1,3,1,2,2,4,1,5,4,5,1,5
"206","E07000188",2,4,1,0,2,2,5,1,4,1,5,0,5
"207","E07000189",1,2,4,0,2,2,4,1,2,2,4,0,2
"208","E07000190",5,1,5,3,1,2,3,2,4,2,1,0,5
"209","E07000191",5,5,4,5,5,1,5,1,5,4,5,0,5
"210","E07000192",5,4,5,4,5,5,1,3,5,3,5,1,5
"211","E07000193",1,4,4,3,1,4,5,0,5,0,5,1,3
"212","E07000194",4,1,2,5,1,4,1,4,2,1,4,4,5
"213","E07000195",2,2,5,1,5,4,4,0,4,5,2,1,5
"214","E07000196",4,4,4,1,1,3,4,2,5,2,5,0,5
"215","E07000197",1,4,2,4,2,5,2,4,1,4,4,4,4
"216","E07000198",3,4,1,1,2,5,2,1,1,4,5,1,5
"217","E07000199",5,5,5,5,4,4,5,0,5,4,5,4,5
"218","E07000200",1,5,4,4,3,5,2,4,2,4,4,1,4
"219","E07000201",5,5,4,2,4,5,5,5,1,4,5,5,5
"220","E07000202",3,1,4,5,5,5,1,1,3,2,3,2,5
"221","E07000203",5,1,4,4,4,4,2,1,3,1,5,2,4
"222","E07000204",4,3,1,2,0,3,5,2,1,4,4,1,5
"223","E07000205",2,5,5,2,1,2,1,3,4,0,3,1,5
"224","E07000206",1,3,1,2,2,1,1,2,4,2,2,2,5
"225","E07000207",3,3,1,1,5,2,4,2,1,4,4,0,5
"226","E07000208",4,4,4,5,1,4,4,2,3,5,1,4,5
"227","E07000209",2,2,4,1,1,5,0,2,2,3,4,4,1
"228","E07000210",1,2,5,2,4,1,4,3,2,3,4,4,4
"229","E07000211",2,5,4,1,0,3,4,4,1,3,4,4,5
"230","E07000212",1,5,4,4,2,5,2,4,5,4,4,2,4
"231","E07000213",5,2,1,5,2,5,1,5,5,3,4,1,5
"232","E07000214",1,5,3,2,0,5,0,5,5,4,4,2,5
"233","E07000215",4,2,4,1,1,5,4,4,5,5,4,2,4
"234","E07000216",0,3,1,4,3,3,4,1,5,1,5,1,5
"235","E07000217",0,4,0,1,4,4,1,4,4,4,1,4,4
"236","E07000218",5,4,1,2,4,4,2,5,4,4,0,1,5
"237","E07000219",5,5,3,2,0,3,4,2,5,1,5,1,5
"238","E07000220",2,1,1,2,0,5,5,3,1,4,5,1,5
"239","E07000221",4,2,4,0,4,0,3,0,4,0,5,0,5
"240","E07000222",5,4,3,1,2,4,4,2,1,4,5,2,3
"241","E07000223",5,4,4,3,4,5,1,4,2,5,1,1,5
"242","E07000224",1,0,1,1,1,0,2,2,2,1,2,1,5
"243","E07000225",0,3,3,2,4,3,1,1,4,1,4,0,4
"244","E07000226",5,5,5,1,4,1,5,2,4,4,5,0,4
"245","E07000227",2,1,3,1,4,2,4,1,2,4,3,1,5
"246","E07000228",1,4,2,1,3,2,4,1,3,4,1,1,5
"247","E07000229",1,4,1,1,2,5,2,1,2,2,3,1,5
"248","E07000234",3,3,4,2,4,5,4,0,4,4,3,1,5
"249","E07000235",2,5,0,3,1,4,3,2,3,2,2,1,5
"250","E07000236",5,5,4,3,1,4,3,2,4,5,2,4,5
"251","E07000237",4,5,2,1,5,4,5,4,4,2,4,1,5
"252","E07000238",2,3,1,4,2,4,3,2,2,5,0,4,4
"253","E07000239",3,2,5,0,5,0,4,5,2,1,5,1,5
"254","E07000240",3,4,2,2,4,4,4,1,2,5,3,1,5
"255","E07000241",2,4,1,4,1,5,4,2,4,1,2,0,5
"256","E07000242",4,1,4,2,1,4,4,0,2,1,4,0,5
"257","E07000243",5,5,0,5,4,5,4,5,4,5,2,4,4
"258","E08000001",1,5,4,0,1,1,2,1,3,1,4,0,5
"259","E08000002",2,3,1,1,5,2,3,1,1,2,4,1,5
"260","E08000003",0,3,0,3,2,3,1,1,1,5,4,2,4
"261","E08000004",3,2,1,0,3,2,4,0,4,2,1,2,5
"262","E08000005",3,2,5,1,1,3,1,1,0,5,4,0,5
"263","E08000006",2,2,0,5,2,2,4,0,2,0,3,0,5
"264","E08000007",1,1,2,0,1,5,1,1,1,3,4,1,4
"265","E08000008",1,2,2,2,4,1,4,0,3,1,4,1,4
"266","E08000009",3,4,3,3,1,0,4,3,3,1,4,1,5
"267","E08000010",3,2,1,0,3,1,1,2,1,1,5,0,5
"268","E08000011",5,4,4,4,3,4,5,1,3,1,5,3,4
"269","E08000012",1,0,4,0,0,4,1,1,1,2,3,0,5
"270","E08000013",1,3,1,1,4,1,5,1,1,2,4,0,5
"271","E08000014",2,0,2,2,0,3,1,0,2,1,4,0,5
"272","E08000015",1,2,1,1,2,3,0,1,1,1,3,0,3
"273","E08000016",3,4,0,2,4,1,1,2,0,3,3,0,4
