"","lad2014_code","adjrr_80_84_m","adjrr_85_89_m","adjrr_90p_m","adjrr_80_84_f","adjrr_85_89_f","adjrr_90p_f"
"1","E06000001",1.1466860269808,1.79347083718383,1.20489386792453,1.27138734685434,1.59071424375432,1.15863696224759
"7","E06000002",1.24992494421188,1.11482413501438,1.21917410973205,1.0482487029087,1.22385673316046,1.69468995592454
"13","E06000003",1.09412375172121,1.27118550112586,1.51472107438017,1.09618035493505,1.28193288673238,1.28560901147489
"19","E06000004",1.14234527961416,1.1316900123755,1.40095662213426,1.3468265538745,1.35783153837346,1.17237954798519
"25","E06000005",1.03015956271472,1.35112159039412,1.08893360160966,1.12210634711464,1.35997460222731,1.09170679874548
"31","E06000006",1.10613355510146,1.01070090126445,0.915756181713628,1.17729889885607,1.54370692385522,1.27417998317914
"37","E06000007",1.4056718259559,1.43822849189147,1.12162937464142,1.09260620548855,1.31163558863699,1.15154956689124
"43","E06000008",0.987485422482079,0.889840693755534,1.29871928002769,1.35837683931625,1.08270222720751,1.2222960323691
"49","E06000009",1.02511732544292,1.33569171883028,1.30041448909713,1.01832382518852,1.17842141256178,1.0572912855784
"55","E06000010",1.01067640125078,1.19358503256098,1.34415427882684,1.15338536632088,1.10380183449211,1.45295124360105
"61","E06000011",1.15874426358726,1.13675394488919,1.14092797515046,1.06029145331616,1.16315125187069,1.12718963106068
"67","E06000012",1.25591914049351,1.0400150916658,0.80186381852697,1.11680819622319,1.04707245620062,1.22205221514625
"73","E06000013",1.27374351875232,0.967720554464092,0.948652869972667,0.915164670252791,1.16655790449753,1.51961862852952
"79","E06000014",0.967892790413044,0.996673016880582,1.0511696270646,0.973533170462124,1.25353479667169,1.09491717661954
"85","E06000015",1.14235751307212,1.03260022463607,1.18971339105238,1.01920819236365,1.1189368523601,1.10644300035263
"91","E06000016",1.18307505813636,0.936545696057794,1.05230285770402,1.05320437915578,1.3309600169453,1.02011296765603
"97","E06000017",1.4291802559572,0.877877152377507,1.3448275862069,1.46711345760389,1.4712465232922,1.16364657957578
"103","E06000018",1.03919224976906,1.00895593739325,1.20576884013813,1.02888439051039,1.08805608829478,1.19427911152491
"109","E06000019",1.31597005030732,1.0319910612838,1.32677370623387,1.09584135664576,1.17596328377166,1.31099456099456
"115","E06000020",1.10243833049859,1.13831799682213,1.13269617706237,0.973581683513717,1.16271861126303,1.38922741911872
"121","E06000021",1.23390345005284,1.04988348300192,1.21638924455826,1.20722303597843,0.866529509514122,1.45676921629504
"127","E06000022",1.04835630229142,1.28617425104492,1.04967348370814,0.909418884049671,0.876265541427373,1.41887806516627
"133","E06000023",1.09763819645535,0.973170592721591,0.926167132414468,1.04641228215857,1.12309902969993,1.17485265225933
"139","E06000024",1.14247379896355,1.11061442204008,1.01508808651666,1.34780918732824,1.22705699669779,1.15797194278035
"145","E06000025",1.05739405881335,1.16783559501835,1.01786846347516,1.29871751414371,1.25535030947242,1.36628532429525
"151","E06000026",0.984986858490562,1.16796994295834,1.2028723751496,1.137104339812,1.16931654663632,0.973040752351097
"157","E06000027",0.962774935717743,1.06848269479924,1.06350267379679,1.29973841740196,1.05372333373143,1.21210736619542
"163","E06000028",1.51872751517478,0.999153239564257,1.05700781393509,1.32070373564193,0.919371230286871,1.22510078273282
"169","E06000029",1.2763452666883,1.23607602981445,1.09084734250297,1.00185896846472,1.28911605931095,1.43949397991455
"175","E06000030",1.08227089643193,1.11112589009496,0.888201193520887,0.90123180719119,1.3751817232349,0.977384801280167
"181","E06000031",1.14952000269773,1.19683886011673,0.975179260893547,1.12163947833306,1.45343908586041,1.23351715987986
"187","E06000032",1.21968089690068,1.14197151818586,1.012909632572,1.34128969462054,1.26965966724443,1.20594213196292
"193","E06000033",1.02927354952277,1.17078744329883,1.24653048495244,1.25782223158736,0.977380393757101,0.987472387145069
"199","E06000034",1.25053209415111,0.921059918454588,1.03342518881404,1.16263910600219,0.970162680089125,1.2403862579005
"205","E06000035",0.994224877582603,1.29695690930422,0.91924122148323,1.30226989440513,1.3538629871008,1.18641591581104
"211","E06000036",1.18191321241968,1.30799759977275,0.904774465840148,1.18778920939826,1.26997034382733,1.2366339577758
"217","E06000037",1.13555063164304,1.07648483014737,1.37555365318048,1.05767751457643,1.29765612153247,0.996424250571313
"223","E06000038",1.03019415264322,0.981350726562147,1.40052076068257,1.21289722463771,1.1959742292739,1.14699044174632
"229","E06000039",1.35986368762586,1.158833330963,1.13929618768328,1.11266663867886,1.18436795449137,1.15191135734072
"235","E06000040",1.18762501614292,1.07222806820263,1.19180496074233,1.27558264221252,1.08072018403913,1.25572868927589
"241","E06000041",0.996664688688625,1.13827891517822,1.08229522654614,1.18510060841876,1.08069622899792,1.01210051594224
"247","E06000042",1.11519929619254,1.50435004788464,1.26023529411765,1.20034849409208,1.2435066068109,1.25843149739998
"253","E06000043",1.20400618756049,0.989420501028584,1.11277797028189,1.35412337490095,1.45929201960291,1.17342471511468
"259","E06000044",1.14923331398775,0.997490407647349,1.0527731092437,0.86983582421692,1.33318801463043,0.963022630645745
"265","E06000045",0.96914259051608,1.09495006832461,0.896060266720961,1.06724895203979,1.25332912554376,1.23577193842028
"271","E06000046",1.25884131096523,1.21226927425329,1.05064386596511,0.980619226919379,1.15846156658236,1.16551724137931
"277","E06000047",1.02150412987,1.09703960853147,1.05460492013082,1.03799815911596,1.12346251766252,1.11539881894166
"283","E06000049",1.14162357698318,1.14358577277952,1.09913096200485,1.00090065389271,1.216743236772,1.35176287360628
