"","lad2014_code","dorling_03","dorling_04","dorling_05","dorling_06","dorling_07","dorling_08","dorling_09","dorling_10","dorling_11","dorling_12","dorling_13","dorling_14","dorling_15"
"1","E06000001",3,4,4,1,2,2,4,1,5,1,0,4,5
"2","E06000002",2,5,2,1,1,1,4,1,1,2,4,0,5
"3","E06000003",3,1,0,4,3,2,1,0,2,1,4,1,5
"4","E06000004",1,0,4,1,1,0,3,0,4,1,2,0,5
"5","E06000005",0,4,1,3,1,3,5,1,2,2,2,0,4
"6","E06000006",3,0,1,5,1,5,2,0,2,2,4,0,4
"7","E06000007",1,1,1,4,3,2,0,1,0,4,5,0,5
"8","E06000008",4,1,1,1,1,2,2,0,2,4,2,0,5
"9","E06000009",2,1,3,0,2,0,0,2,2,2,3,2,3
"10","E06000010",5,0,1,2,1,1,1,2,0,2,3,0,4
"11","E06000011",4,1,1,0,2,3,1,1,1,2,4,0,3
"12","E06000012",4,1,1,1,2,1,1,1,0,4,1,0,4
"13","E06000013",5,2,0,1,3,1,2,0,3,1,4,1,4
"14","E06000014",2,2,1,0,1,2,0,1,3,1,1,1,2
"15","E06000015",2,1,1,3,1,4,1,1,1,1,4,1,3
"16","E06000016",0,1,3,1,0,3,1,0,1,2,3,0,4
"17","E06000017",5,2,1,4,5,4,2,4,2,5,1,1,5
"18","E06000018",2,0,2,0,5,4,0,0,1,3,2,0,4
"19","E06000019",3,2,3,1,3,2,1,0,1,3,2,1,5
"20","E06000020",1,3,4,0,1,1,3,3,2,2,4,1,3
"21","E06000021",4,1,1,1,2,4,1,0,1,1,4,1,5
"22","E06000022",4,2,2,0,1,2,2,1,1,1,3,2,4
"23","E06000023",2,0,0,0,2,3,2,1,0,2,2,0,3
"24","E06000024",3,1,1,1,1,2,1,0,4,1,2,2,5
"25","E06000025",3,2,2,2,3,2,1,1,2,0,2,0,5
"26","E06000026",1,3,0,0,1,3,1,1,0,1,4,0,3
"27","E06000027",2,2,1,0,3,1,2,2,1,1,5,4,4
"28","E06000028",1,2,0,0,0,4,2,1,1,3,4,0,5
"29","E06000029",4,4,0,2,2,5,1,2,1,3,5,0,5
"30","E06000030",2,0,1,1,0,2,1,2,1,1,3,1,1
"31","E06000031",1,2,2,2,1,1,4,0,2,4,1,1,4
